sample_idx,dataset,stage,image_id,base_dice,base_iou,failure70,failure80,severe50,sprc_cb_score,sprc_pp_r_score,sam_confidence_risk,mask_iou_disagreement,linear_sprc_score
0,Kvasir-SEG,stage1_id,cju0s2a9ekvms080138tjjpxr,0.4497274302017701,0.2900957154007603,1,1,1,0.9527777777777776,0.9518518518518518,-0.8305887579917908,0.1555072507082722,2.2611264236793565
1,Kvasir-SEG,stage1_id,cju0sxqiclckk08551ycbwhno,0.9103686961435548,0.8354832436638131,0,0,0,0.7555555555555555,0.7451851851851852,-0.9405468106269836,0.0924148657651242,0.327011794316656
2,Kvasir-SEG,stage1_id,cju13fwthn9mq0835gacxgy01,0.9624670880813592,0.9276496938314372,0,0,0,0.5355555555555556,0.582962962962963,-0.964196503162384,0.0449644796442898,-0.0133078268424133
3,Kvasir-SEG,stage1_id,cju14hjh2ob2o0835ouz3r5aa,0.947720219622828,0.9006352087114563,0,0,0,0.5348611111111111,0.6666666666666666,-0.968405544757843,0.0788838350928295,0.4028267503756084
4,Kvasir-SEG,stage1_id,cju15l5ubz9yh0855b3ivdpse,0.8838342810723462,0.7918486171762796,0,0,0,0.8352777777777778,0.8218518518518518,-0.9116330742836,0.1810160366301624,0.6034997014642388
5,Kvasir-SEG,stage1_id,cju15wdt3zla10801odjiw7sy,0.320845053036268,0.1910753105998035,1,1,1,0.9084722222222222,0.9179629629629628,-0.859860897064209,0.2213358848510325,3.2445527556473017
6,Kvasir-SEG,stage1_id,cju16ach3m1da0993r1dq3sn2,0.9729445362994154,0.9473145031465008,0,0,0,0.2711111111111111,0.4292592592592592,-0.9824615716934204,0.0041023467809496,-0.3183323010285985
7,Kvasir-SEG,stage1_id,cju17g6ykn1cs0993dww6qdi8,0.4182958289302146,0.2644589529326011,1,1,1,0.9130555555555556,0.9453703703703704,-0.8399341702461243,0.158377259082091,2.3419086096455604
8,Kvasir-SEG,stage1_id,cju17v6ih0u7808783zcbg1jy,0.939653394702765,0.8861756995387061,0,0,0,0.6116666666666667,0.62,-0.9565476775169371,0.0247061024362205,0.0503112473028374
9,Kvasir-SEG,stage1_id,cju17z0qongpa0993de4boim4,0.9482385932114424,0.9015719602289054,0,0,0,0.303611111111111,0.3166666666666666,-0.9766044020652772,0.01240204717143,-0.2838297198970973
10,Kvasir-SEG,stage1_id,cju18kevfrojc0835bn90f1in,0.9023501170613456,0.8220746260598185,0,0,0,0.4527777777777778,0.5733333333333334,-0.9767446517944336,0.0128610835571041,-0.2191371616885547
11,Kvasir-SEG,stage1_id,cju1alwgo30z60855fm3y23sm,0.9433374957019124,0.8927519353292139,0,0,0,0.5072222222222222,0.5792592592592593,-0.9739162921905518,0.0047740637413151,-0.3206900865343304
12,Kvasir-SEG,stage1_id,cju1amqw6p8pw0993d9gc5crl,0.8952049256795228,0.8102904751184301,0,0,0,0.4080555555555555,0.5155555555555555,-0.9776672124862672,0.0180865940601535,-0.1733700865947101
13,Kvasir-SEG,stage1_id,cju1b0y2e396p08558ois175d,0.906754966887448,0.8294160407076391,0,0,0,0.7493055555555554,0.8179629629629629,-0.9556637406349182,0.1026698152896082,0.3154522383476683
14,Kvasir-SEG,stage1_id,cju1b75x63ddl0799sdp0i2j3,0.9227301321031866,0.8565450121655199,0,0,0,0.2030555555555555,0.3048148148148148,-0.9864134788513184,0.0100098317891582,-0.295584355596913
15,Kvasir-SEG,stage1_id,cju1c4fcu40hl07992b8gj0c8,0.9262142916516788,0.8625690251329604,0,0,0,0.5833333333333333,0.6305555555555556,-0.9676111936569214,0.0116612838460865,-0.2105539329484471
16,Kvasir-SEG,stage1_id,cju1c8ffau5770835g0g343o8,0.8992453329803172,0.816935289872651,0,0,0,0.4720833333333333,0.5568518518518518,-0.9745742678642272,0.0118649320902377,-0.2272063860713756
17,Kvasir-SEG,stage1_id,cju1cyjb5qtie0993njqne9m3,0.9619950064009876,0.9267730043046538,0,0,0,0.4816666666666666,0.6722222222222222,-0.9716159701347352,0.0417274273877508,0.3567560020109052
18,Kvasir-SEG,stage1_id,cju1dia8hvc6v098827mgffnm,0.9174622265654674,0.8475105895424988,0,0,0,0.6336111111111111,0.6796296296296297,-0.966795802116394,0.0249263085410021,-0.0393460980604599
19,Kvasir-SEG,stage1_id,cju1djtprvd7b0988thwwrg09,0.9296969371594422,0.8686296147673211,0,0,0,0.6122222222222222,0.5800000000000001,-0.9427490234375,0.0309965719228887,-0.0962200410459374
20,Kvasir-SEG,stage1_id,cju1ewnoh5z030855vpex9uzt,0.9495414916203716,0.9039305065795408,0,0,0,0.4377777777777777,0.4888888888888889,-0.972812294960022,0.0140915783157388,-0.1511457965002806
21,Kvasir-SEG,stage1_id,cju1ftaji6isw0855108yqcse,0.9296848663791684,0.8686085407706963,0,0,0,0.57875,0.8327777777777777,-0.9760398864746094,0.0937639606816892,0.1534971083488031
22,Kvasir-SEG,stage1_id,cju1haab178i70799tk9z8y8x,0.9589530450314364,0.9211429325590864,0,0,0,0.2633333333333333,0.4029629629629629,-0.9849393963813782,0.0077954671043404,-0.1521537598325501
23,Kvasir-SEG,stage1_id,cju2hjrqcvi2j0801bx1i6gxg,0.3466525134584325,0.2096670641111576,1,1,1,0.9648611111111112,0.9575925925925928,-0.7520346641540527,0.5960800988901991,3.151480759323739
24,Kvasir-SEG,stage1_id,cju2hugv9vget0799hhk7ksvg,0.8610567514678463,0.7560137457048866,0,0,0,0.6675,0.6433333333333334,-0.9518625736236572,0.0719935413544226,0.0255582668273032
25,Kvasir-SEG,stage1_id,cju2hw5gjlr5h0988so2qqres,0.9595804836442356,0.9223015029603884,0,0,0,0.4152777777777777,0.5196296296296296,-0.9703712463378906,0.0192144883903441,-0.0828064087360081
26,Kvasir-SEG,stage1_id,cju2m56cryvqd0801gtn2yp8t,0.9392153181903738,0.885396757981252,0,0,0,0.4113888888888889,0.4288888888888889,-0.9740766882896424,0.0167267074725114,-0.1715411799643619
