config,axis,value,target,alt_minus_default_mean,ci_lo,ci_hi,p
jitter_pm3,jitter,pm3pct,failure70,0.012479188359675795,-0.03125234201592073,0.0635896428091496,0.614
jitter_pm3,jitter,pm3pct,failure80,-0.03203765459657108,-0.09538601717744856,0.007564550515395563,0.144
jitter_pm3,jitter,pm3pct,severe50,-0.022872015419912194,-0.11428571428571432,0.04594488555426038,0.582
jitter_pm12,jitter,pm12pct,failure70,-0.004850892105911694,-0.07647646224963213,0.06696730386484491,0.864
jitter_pm12,jitter,pm12pct,failure80,0.012353242232435153,-0.04530935885164496,0.07197714754677041,0.664
jitter_pm12,jitter,pm12pct,severe50,-0.029295292789549385,-0.13919015673224272,0.05982910484768065,0.514
scale_narrow,scales,narrow,failure70,0.014439624543932474,-0.0070155519006700915,0.053165378840930325,0.36
scale_narrow,scales,narrow,failure80,0.009559606007955914,-0.006780389100675904,0.0414180845160409,0.422
scale_narrow,scales,narrow,severe50,-0.008161961015515445,-0.059269738198309704,0.02256718975468979,0.91
scale_wider,scales,wider,failure70,0.009481590596513928,-0.027075216336133686,0.052772426391717225,0.602
scale_wider,scales,wider,failure80,0.010809582255329069,-0.013315142677758846,0.04071463019209343,0.38
scale_wider,scales,wider,severe50,-0.013966385901642628,-0.07762152777777773,0.04813011063011065,0.468
band_wide,consensus_band,"[0.10,0.90]",failure70,-0.02693059729043427,-0.08368763639098441,0.0018170478606389575,0.102
band_wide,consensus_band,"[0.10,0.90]",failure80,-0.01732713193714561,-0.0535477630195374,0.003580041634740094,0.186
band_wide,consensus_band,"[0.10,0.90]",severe50,-0.03627703772829344,-0.11265141874057313,0.0,0.1
band_narrow,consensus_band,"[0.30,0.70]",failure70,-0.003480601081025071,-0.012655923916065839,9.414160401020873e-05,0.482
band_narrow,consensus_band,"[0.30,0.70]",failure80,-0.003271030946001823,-0.012338334205089665,0.00030524560728483185,0.5
band_narrow,consensus_band,"[0.30,0.70]",severe50,-0.0038139704698541372,-0.021720371132135763,0.0,1.0
neg_none,negative_point,none,failure70,0.003159534293128357,-0.004387426900584806,0.0195444214876033,0.994
neg_none,negative_point,none,failure80,-0.00618033510320701,-0.030410194380782754,0.00424552994107904,0.748
neg_none,negative_point,none,severe50,-0.006869890041561513,-0.05714285714285716,0.0216378348214286,1.0
neg_random,negative_point,random_in_band,failure70,0.0,0.0,0.0,1.0
neg_random,negative_point,random_in_band,failure80,0.0,0.0,0.0,1.0
neg_random,negative_point,random_in_band,severe50,0.0,0.0,0.0,1.0
